기사날짜,기사제목,네이버 뉴스 url
2023.01.01.,"""거래절벽 장기화, 헐값에 파느니""…11월 주택 증여비중 역대 최대",https://n.news.naver.com/mnews/article/079/0003722939?sid=101,"전국 14.4%, 서울 20%…2006년 조사 이래 월별 기준 가장 높아1~11월 누적도 전국 9.4%…역대 최대박종민 기자급격한 금리 인상과 경기 침체 우려 등으로 주택시장이 역대급 거래 절벽을 마주한 가운데 지난해 11월 전국의 주택 증여 비중이 월별 기준으로 2006년 조사 이래 역대 최대를 기록했다. 아파트 증여 비중 역시 월별 기준 최대치를 기록했다.1일 한국부동산원이 공개한 거래원인별 주택거래 현황에 따르면 지난해 11월 전국 주택 거래량 총 5만5588건 가운데 증여 건수는 7999건으로 전체의 14.4%로 집계됐다. 이는 2006년 1월 관련 통계 조사를 시작한 이래 월별 기준으로 최대 비중이다. 11월 전국 아파트 증여 비중도 11.1%로 2006년 조사 시작 이래 가장 높은 것으로 나타났다.금리 인상 등에 따른 역대급 거래 절벽으로 일반 매매거래량이 크게 줄어든 가운데 집값 하락기를 틈타 상대적으로 증여 수요가 늘어난 것으로 풀이된다. 집값이 떨어졌을 때 증여를 하게 되면 과표가 떨어져 증여세 부담도 줄어들어서다.최근 주택 매매시장이 얼어붙어 급매조차 팔리지 않는 것도 증여를 선택하는 요인으로 꼽힌다. 시세보다 싼 값에 파느니 차라리 증여세를 내고 자녀 등에 사전 증여를 하는 게 낫다고 판단하는 사람들이 늘어서다.특히 올해부터 증여로 인한 취득세 기준이 종전 시가표준액에서 시가인정액으로 바뀌며 세금이 늘어남에 따라 지난해까지 서둘러 증여를 마치려는 수요가 증가한 것으로 풀이된다. 시가표준액은 정부가 부동산에 대한 세금을 징수하기 위해 공시하는 가격(공시지가)으로 통상 시세의 60~70% 수준이지만, 앞으로는 이보다 높은 감정평가액이나 매매가 수준으로 취득세를 내야 한다.지난 11월 서울의 주택 증여 거래는 전체 4982건중 995건으로 20%에 달했다. 역시 2020년 11월 19.7%를 뛰어 넘는 역대 최대다. 특히 노원구의 11월 주택 증여비중은 전체 거래 157건 중 64건으로 41%에 달했다. 이어 △서대문구(39.8%) △마포구(39.1%) △용산구(36%) △성동구(34.8%) △서초구(32.6%) 등도 전체 주택 거래 중 증여 비중이 30% 이상으로 집계됐다.11월 증여 비중이 크게 높아지면서 지난해 11월까지 전국 주택 누적 증여비중도 전체 86만2560건중 8만1천4건으로 9.4%까지 치솟았다. 10월까지의 누적 최대 기록(9.0%)을 경신했다. 특히 서울은 11월까지 주택 증여 비중이 12.9%로 역시 10월까지 누적 비중(12.5%)보다 높아졌다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,"尹대통령, 합참의장에 ""北 어떠한 도발도 확실히 응징해야""",https://n.news.naver.com/mnews/article/079/0003722959?sid=100,"용산 대통령실 지하벙커서 화상통화""北 대칭·비대칭 수단, 지속 도발할 것""""우리 군은 일전을 불사한다는 결기로 적의 어떤 도발도 확실하게 응징해야""연합뉴스윤석열 대통령은  2023년 새해 첫날 1일 오전 용산 대통령실 지하벙커인 국가위기관리센터를 방문해 군 지휘관들에게 철저한 대북 대비 태세 유지를 당부했다.윤 대통령은 김승겸 합참의장을 비롯한 육·해·공군 및 해병대 지휘관들과 화상통화하며, 북한의 어떤 도발에도 확실하게 응징하기 위한 확고한 정신적 대비 태세와 실전적 훈련을 강조했다고 대통령실이 서면 브리핑을 통해 전했다.윤 대통령은 특히 김 합참의장에게 ""지난해 대북 대비 태세를 유지하느라 수고 많았다. 새해가 됐지만, 우리의 안보 상황은 여전히 매우 엄중하다""며 ""북한은 앞으로도 핵·미사일 위협을 고도화하면서 다양한 대칭·비대칭 수단을 동원해 지속적인 도발에 나설 것""이라고 말했다.윤 대통령은 ""우리 군은 일전을 불사한다는 결기로 적의 어떤 도발도 확실하게 응징해야 한다""며 ""우리 장병들의 확고한 정신적 대비 태세와 실전적 훈련만이 강한 안보를 보장할 수 있음을 유념해 주기를 바란다""고 말했다.그러면서 ""새해 합참의장 예하 전 장병들이 국민으로부터 신뢰받는 강군으로 거듭나겠다는 각오로 임해주기를 당부드린다""고 덧붙였다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,"尹 신년사 ""노동·교육·연금 3대개혁 미룰 수 없어…가장 먼저 노동개혁""",https://n.news.naver.com/mnews/article/079/0003722891?sid=100,"""기득권 유지와 지대 추구에 매몰된 나라에는 미래가 없다""""노동 개혁의 출발점은 '노사 법치주의'""""지역 균형발전은 저출산 문제 해결의 지름길""""자유는 우리에게 더 많은 기회를 연대는 우리에게 더 큰 미래를 선사할 것""윤석열 대통령이 계묘년(癸卯年) 새해 첫날인 1일 서울 용산 대통령실 청사에서 신년사를 발표하고 있다. 대통령실 제공윤석열 대통령은 2023년 신년사에서 ""대한민국의 미래와 미래세대의 운명이 달린 노동, 교육, 연금 3대 개혁을 더 이상 미룰 수 없다""며 새해 3대 개혁 추진을 본격화하겠다고 밝혔다.윤 대통령은 ""기득권 유지와 지대 추구에 매몰된 나라에는 미래가 없다""며 이같이 말했다.신년사 발표는 용산 대통령실 브리핑룸에서 10분가량 생중계로 진행됐다.윤 대통령은 가장 먼저, '노동 개혁'을 들고 나섰다. 윤 대통령은 ""노동 개혁을 통해 우리 경제의 성장을 견인해 나가야 한다""면서 ""노동 개혁의 출발점은 '노사 법치주의'며 '노사 법치주의'야말로 불필요한 쟁의와 갈등을 예방하고 진정으로 노동의 가치를 존중할 수 있는 길""이라고 강조했다.또한 ""노동시장의 이중구조를 개선해야 한다""며 ""직무 중심, 성과급 중심의 전환을 추진하는 기업과 귀족 강성노조와 타협해 연공 서열 시스템에 매몰되는 기업에 대한 정부의 지원 역시 차별화되어야 한다""고 했다.윤 대통령은 ""노동시장을 유연하게 바꾸면서 노사 및 노노(勞勞) 관계의 공정성을 확립하고 근로 현장의 안전을 개선하기 위해 모든 노력을 다하겠다""고 강조했다.교육 개혁에 대해서는 ""우리나라의 경쟁력과 직결되는 고등 교육에 대한 권한을 지역으로 과감하게 넘기고, 그 지역의 산업과 연계해 나갈 수 있도록 지원할 것""이라고 밝혔다.특히 ""이러한 교육개혁 없이는 지역 균형발전을 이뤄내기 어렵다""며 ""지역 균형발전은 저출산 문제 해결의 지름길이며 자라나는 미래세대가 원하는 교육을 받을 수 있도록 교육 과정을 다양화하고, 누구나 공정한 기회를 누릴 수 있도록 할 것""이라고 말했다.연금 개혁에 대해서는 ""연금개혁에 성공한 나라의 공통점은 이에 대한 사회적 합의를 목표로 오랜 시간에 걸쳐 연구하고 논의해 결론에 도달한 것""이라며 ""연금재정에 관한 과학적 조사․연구, 국민 의견 수렴과 공론화 작업을 속도감 있게 추진하여 국회에 개혁안을 제출하겠다""고 밝혔다.윤 대통령은 ""올해 세계 경제는 어느 때보다 경기침체의 가능성이 크다""며 복합위기 돌파를 위한 수출의 중요성도 강조했다.윤 대통령은 ""모든 외교의 중심을 경제에 놓고, 수출전략을 직접 챙기겠다""며 '해외수주 500억 불 프로젝트'를 가동하고 인프라건설·원자력발전·방위산업을 수출동력으로 육성하겠다고 설명했다. '기업가 정신'을 주문하면서 정보·기술(IT) 및 바이오뿐만 아니라 방산, 원자력, 탄소중립, 엔터테인먼트까지 '스타트업 코리아의 시대'를 열겠다고 강조했다.윤 대통령은 ""지금의 위기와 도전은 우리의 대한민국이 어떤 나라인지 묻고 있다""며 ""우리는 잘못을 보면 바로 잡으려고 했고 옳지 않은 길을 가면 멈추려 했으며 넘어지면 스스로의 힘으로 일어서려 했다. 강한 의지로 변화와 혁신을 추진해 왔다""고 했다.윤 대통령은 ""기득권의 집착은 집요하고 기득권과의 타협은 쉽고 편한 길이지만 우리는 결코 작은 바다에 만족한 적이 없다""며 자유는 우리에게 더 많은 기회를 연대는 우리에게 더 큰 미래를 선사할 것""이라고 강조했다.마지막으로 ""국민 여러분께서 제게 부여한 사명을 늘 잊지 않고, 위대한 국민 여러분과 함께 새로운 도약을 반드시 이뤄내겠다""면서 신년사를 마무리했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,'국정원 불법사찰' 추명호 前국장 '징역 2년' 확정,https://n.news.naver.com/mnews/article/079/0003722928?sid=102,"연합뉴스이명박·박근혜 정부 시절 불법 사찰 혐의로 재판에 넘겨진 추명호 전 국가정보원 국익정보국장에게 유죄가 확정됐다.대법원 1부(주심 오경미 대법관)는 국정원법 위반 등 혐의로 기소된 추 전 국장의 상고심에서 징역 2년에 자격정지 2년을 선고한 원심을 확정했다고 1일 밝혔다.추 전 국장은 박근혜 정부 당시 국정원 국익정보국장으로 근무하면서 우병우 전 민정수석의 지시에 따라 이석수 당시 대통령 직속 특별감찰관을 불법 사찰하는 등 국정원의 정치공작에 관여한 혐의를 받아왔다.1심은 추 전 국장의 혐의를 유죄로 판단해 징역 2년과 자격정지 2년을 선고하고 법정 구속했다. 재판부는 ""직권을 남용해 사찰 대상자들의 권리를 침해했고, 직원의 업무 공정성과 신뢰를 훼손했다""고 지적했다.2심도 유죄를 인정했다. 다만 추 전 국장이 이명박 정부 시절 박원순 당시 서울시장 비난 여론을 조성하거나 문화예술계 블랙리스트에 관여한 혐의는 직권남용의 고의가 없었다고 보고 무죄를 선고했다.대법원은 ""원심 판단에 논리와 경험의 법칙을 위반해 자유심증주의 한계를 벗어나거나 법리를 오해한 잘못이 없다""며 유죄를 확정했다. 추 전 국장과 우병우 전 수석은 지난달 27일 신년 특면사면으로 복권됐다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,지방대 수시 합격자 18.5% 등록 포기…3만 3천여명,https://n.news.naver.com/mnews/article/079/0003722964?sid=102,"핵심요약서울 3.0%, 경기·인천권은 4.5% 등록 포기종로학원 ""수시 위주의 선발 구도가 지방대에 유리하게만 작용한다는 근거 없어""""지방대, 경쟁력 확보·획기적인 취업 대책 마련 등 해결책 모색해야""서울 종로구 경복고등학교에서 고3 수험생들이 수능 성적표를 학인하고 있다. 류영주 기자2023학년도 대입 수시모집 전형에서 지방 소재 4년제 대학에 합격하고도 등록하지 않은 수험생이 3만3천여 명에 달하는 것으로 집계됐다. 1일 종로학원에 따르면, 지방권 130개 4년제 대학의 올해 수시 미등록 인원은 3만3270명으로, 지난해(3만2618명)보다 652명 늘었다. 반면 서울권 42개 대학의 수시 미등록자는 1396명으로, 지난해(1800명)보다 404명 감소했고 경기·인천권 44개 대학은 1705명으로 지난해(1852명)에 비해 147명 줄었다.  미등록 비율은 서울권 대학은 3.0%(지난해 3.8%), 경기·인천권 대학은 4.5%(지난해 5.0%)에 그쳤으나 지방대는 18.6%(지난해 18.6%)에 달했다.  서울권 대학은 학교당 미등록 인원이 지난해 43명에서 올해 33명으로, 경기·인천권 대학은 42명에서 39명으로 각각 줄었지만, 지방대는 251명에서 256명으로 늘었다. 미등록 비율이 가장 높은 지역은 전남(32.9%), 제주(28.2%), 전북(24.8%) 순이었다. 미등록 비율이 상대적으로 낮은 지역은 대구(5.9%), 대전(12.1%), 세종(15.7%) 순이었다. 반면 서울(3.0%), 인천(3.2%), 경기(4.7%)는 5%미만이었다. 종로학원은 수시모집 비중이 서울·수도권보다 높은 지방대에서 신입생 모집에 더 큰 어려움을 겪는 양상이 계속된다는 점에서 수시 위주의 선발 구도가 지방대에 유리하게만 작용한다는 근거는 없다고 지적했다. 2023학년도 수시 선발 비율은 서울권 대학 60.5%, 수도권 70.2%, 지방대 86.0%였다. 종로학원은 ""지방대도 경쟁력 확보, 지방자치단체·기업 등과 연계된 획기적인 취업 대책 마련 등의 해결책을 모색해야 한다""고 강조했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,"北 1일 새벽 미사일 ""南 사정권 핵탑재 가능 초대형방사포""",https://n.news.naver.com/mnews/article/079/0003722914?sid=100,"핵심요약김정은 '600mm 초대형방사포' 30문 증정식 축하 연설 ""우리 무력의 핵심 공격형 무기 적 제압 전투사명 수행""연합뉴스북한은 지난 달 31일과 올해 1월 1일 발사한 탄도미사일에 대해 남한 전역을 사정권에 두고 전술 핵을 탑재할 수 있는 '600mm 초대형방사포'라고 밝혔다. 북한은 지난해 마지막 날인 31일 초대형 방사포 3발을 쏜 뒤 평양에서 방사포 30문 증정을 축하하는 행사를 가졌으며, 1일 새벽 벽두부터 또 다시 이 방사포를 발사한 바 있다. 김정은 위원장은 이 방사포에 대해 ""남조선 전역을 사정권에 두고 전술핵 탑재까지 가능한 것으로 하여 전망적으로 우리 무력의 핵심적인 공격형무기로서 적들을 압도적으로 제압해야 할 자기의 전투적 사명을 수행하게 된다""고 밝혔다.  북한 노동당 기관지 노동신문은 1일 ""제2경제위원회에서는 2022년 12월31일 오전 당 중앙에 증정하는 초대형방사포의 성능검열을 위한 검수사격을 진행했다""면서 ""3발의 방사포탄은 조선동해의 섬 목표를 정확히 명중하였으며 무장장비의 전투적 성능이 과시됐다""라고 보도했다. 신문은 또 ""2023년 1월1일 새벽 조선인민군 서부지구의 어느 장거리포병구분대에서는 인도된 초대형방사포로 1발의 방사포탄을 조선동해를 향해 사격했다""며, 방사포 발사 사실을 확인했다.  신문은 특히 김 위원장이 참석한 가운데 초대형 방사포 30문을 조선 노동당 중앙위원회 제8기 6차 전원회의에 '증정'하는 행사를 가졌다고 보도했다.  김 위원장은 방사포 증정식 축하 연설에서 ""우리 무력의 중추를 이룰 핵심타격장비들이 이 나라 창건이래, 당 창건 이래 역사상 처음으로 당 중앙 뜨락에 도열했다""며, ""우리 당 전원회의의 역사적 의의를 더 한껏 증폭시키며 적들에게는 또 다른 공포와 충격을 안길 강 위력한 무기들""이라고 말했다.  김 위원장은 이어 ""군수 노동계급이 당과 혁명에 증정한 저 무장장비는 군사 기술적으로 볼 때 높은 지형극복 능력과 기동성, 기습적인 다 연발 정밀공격능력을 갖추었으며 남조선전역을 사정권에 두고 전술 핵 탑재까지 가능""하다며, ""매우 중요한 공격형 무장 장비를 한꺼번에 30문이나 인민군부대들에 추가인도하게 되어 감개무량함을 금할 수 없다""고 덧붙였다. 김 위원장은 그러면서 ""우리 당과 공화국정부는 적들의 망동질, 갈갬질에 핵에는 핵으로, 정면대결에는 정면대결로! 라는 단호한 대응의지를 선언했다""며, ""지금 우리 혁명과 정세의 요구는 국방공업의 끊임없는 발전에 주력하여 국가의 방위력을 끊임없이 증대시켜 사회주의 발전의 믿음직하고 굳건한 안전 환경을 철저히 담보하는 것""이라고 강조했다. 한편 합참은 전날인 31일 오전 8시쯤 황해북도 중화군 일대에서 동해상으로 3발의 단거리 탄도미사일을 발사한 데 이어 1일 오전 2시50분쯤 평양 용성 일대에서 동해상으로 단거리 탄도미사일 1발을 쐈다고 밝힌 바 있다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,"이재명, 신년사서 ""폭력적, 일방적 지배 난무하는 시대""",https://n.news.naver.com/mnews/article/079/0003722927?sid=100,"핵심요약이 대표 ""새로운 길 만들고 새로운 희망 만드는 것이 정치""박홍근 원내대표 ""역사 발전 승리, 국민과 민주당의 저력 믿어야""더불어민주당 이재명 대표가 새해 첫날인 1일 ""안타깝게도 타협과 조정을 통한 희망을 만드는 일들이 많이 사라지고 폭력적, 일방적 지배가 난무하는 시대""라고 말했다. 이 대표는 이날 여의도 중앙당사에서 열린 신년 인사회에서 이같이 밝힌 뒤 ""그래도 더불어민주당이 새로운 희망의 길을 국민과 함께 만들어 나가야 한다고 생각한다""라고 말했다. 그는 ""경제도, 민생도, 민주주의도, 한반도 평화도 위기라고 불릴 만큼 상황이 어렵긴 하지만, 역시 새로운 길을 만들고 새로운 희망을 만드는 것이 정치라는 생각을 해야 할 때라는 마음이 든다""라고 강조했다. 그러면서 ""정치는 없는 것을 만들어내는 것""이라며 ""있는 것을 잘하는 것은 행정이고, 없는 것도 만들어내면서 새로운 길, 새로운 희망을 만드는 것이 바로 정치라고 생각한다""라고 말했다.이 대표는 이어 ""여기 계신 분들뿐만 아니라 국민 여러분, 당원 동지들과 함께 새로운 한 해에 새로운 마음으로 새로운 길을, 새로운 희망을 만들어나가도록 하겠다""고 다짐했다. 박홍근 원내대표도 ""우리 대한민국이 안타깝게도 크게 3가지 측면에서 위기를 맞고 있다""라며 '민주주의와 인권', '민생 경제 3종 복합 위기', '한반도 평화'를 지적했다. 박 원내대표는 이어 ""우리가 3가지 믿음을 갖고 2023년을 이겨내야 한다고 믿고 있다""라며 '역사 발전에 승리할 것을 믿는 것' '우리 국민을 믿는 것', '민주당의 저력을 믿는 것'을 강조했다. 그는 ""올해 어려운 위기 속에서도 우리는 이 3가지를 믿고 간다면 반드시 승리할 것이라고 믿는다. 여기 계신 이재명 대표를 중심으로 똘똘 뭉쳐서 함께 승리의 역사를 만드는 한 해가 됐으면 좋겠다""고 말했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,SRT 이틀만에 정상화…이용객 10만명에 지연배상금·운임할인권,https://n.news.naver.com/mnews/article/079/0003722944?sid=101,"지난달 30일 오후 5시~31일 SRT 열차 이용객 대상연합뉴스통복터널 전차선 단전사고로 이틀간 대거 운행에 차질을 빚었던 수서고속철도(SRT)가 1일부로 정상 운행되고 있다.SRT 운영사인 SR은 이날부터 경부선 80회, 호남선 40회 등 120회 열차를 정상 운행한다고 밝혔다.다만, 대체 열차 투입으로 미리 표를 예약한 승객의 좌석이 변경될 수 있다고 SR 측은 덧붙였다.SR은 지난 이틀간 열차 이용에 불편을 겪은 고객에게 지연 배상금과 함께 30%의 운임 할인권을 지급하기로 했다. 할인권 지급 대상은 지난달 30일 오후 5시 이후부터 31일까지 SRT 열차를 이용한 10만명이다. 열차를 정상적으로 이용한 고객도 포함된다. SR은 국토교통부 조사와 별도로 자체적으로 사고 원인을 규명할 예정이다.SR 이종국 대표는 ""전차선 단전사고로 장시간 열차 이용에 큰 불편을 드린 점에 머리 숙여 사과드린다""며 ""SRT의 안전 운행을 저해하는 모든 문제점에 대한 근본적이고 강력한 안전관리대책 마련을 조속히 건의하겠다""고 밝혔다.앞서 지난달 30일 오후 5시 3분쯤 SRT 상행선 충남 천안아산역~경기 평택 지제역 구간 통복터널에선 전차선이 차단돼 전기 공급이 갑자기 중단되는 사고가 발생했다. 전기 공급은 5시간 만에 복구됐지만 사고 당일 KTX를 포함한 150여대의 열차 운행이 지연됐고, 31일까지 여파가 미쳤다.초동 조사 결과 통복터널에서 진행한 누수 하자공사 과정에서 사용한 보강재(부직포)가 터널 천정에서 전차선으로 떨어지면서 전기 공급에 문제를 일으킨 것으로 추정됐다. 선로에 떨어진 부직포 조각이 현장을 지나가던 SRT 열차로 빨려 들어가면서 차량 고장도 일으킨 것으로 추정된다. 현재 SRT 열차 32대 중 절반이 넘는 17대의 주력변환장치(엔진에 해당)가 고장나 수리가 진행되고 있다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,"'노동개혁 통해 경제성장 견인' 尹신년사에 경제단체 ""환영""",https://n.news.naver.com/mnews/article/079/0003722945?sid=101,"상의·전경련·경총·중기중앙회 ""적극 공감…기업도 위기 극복에 최선""2023년 새해 첫 날인 1일 오전 서울역 대합실에서 시민들이 윤석열 대통령의 신년사 중계방송을 시청하고 있다. 류영주 기자​노동·교육·연금 개혁과 수출 증진을 강조한 윤석열 대통령의 신년사에 대해 경제단체들이 일제히 환영의 뜻을 밝혔다.대한상공회의소는 1일 대통령 신년사와 관련해 ""경기침체 우려 속에서 경제를 최우선으로 하는 금리와 수출 전략을 마련하고 노동·교육·연금 개혁 의지를 보여준 점에 적극 공감한다""고 밝혔다.상의는 ""새해는 우리 경제가 침체와 반등의 기로에 접어들고 고금리, 공급망 재편 등의 영향이 정점에 달하는 만큼 기업 부담을 덜어주고 신산업과 투자의 걸림돌을 없애는 데 정부와 국회가 힘을 모아주길 바란다""고 촉구했다.아울러 ""경제계도 위기 속에서 새로운 사업 기회 발굴을 위해 매진하고 심화하는 사회문제 해결과 취약 계층 보호에도 적극 동참할 것""이라고 덧붙였다.전국경제인연합회도 ""대통령이 신년사에서 수출 증진과 미래 전략 기술 개발, 노동·교육·연금 등 3대 개혁을 강조한 점은 경제난 극복과 재도약을 위해 매우 시의적절하다""며 환영했다.전경련은 ""한국경제는 수출 여건 악화와 고금리·고물가로 내수 침체가 동반하며 저성장 위기에 처해 있다""며 ""그 어느 때보다 정치권, 기업, 국민이 한뜻으로 역량을 결집해야 할 시점""이라고 진단했다.그러면서 ""당면한 위기 극복을 위해 한국경제의 핵심 동력인 수출을 다시 살리는데 전력을 다하고, 우리 기업이 치열한 글로벌 경쟁에서 살아남을 수 있도록 기업 하기 좋은 환경 조성이 무엇보다 중요하다""고 강조했다.한국경영자총협회 역시 ""경영계는 노동·교육·연금 3대 개혁과제 추진과 경제 활성화에 정책 역량을 집중해 대한민국 재도약의 발판을 마련하겠다는 대통령의 의지에 적극 공감한다""고 밝혔다.경총은 ""앞으로도 정부가 시급한 개혁 과제를 성공적으로 추진해 우리나라의 성장잠재력을 높이고 규제 개혁을 포함한 경영환경 개선에도 적극적으로 힘써주기를 당부한다""고 강조했다.이어 ""경영계도 기업 체질 개선과 산업 경쟁력 강화에 노력하고, 더 적극적인 투자와 고용 확대로 경제 활력 제고와 위기 극복에 최선을 다할 것""이라고 밝혔다.중소기업중앙회도 ""노동 개혁을 통해 우리 경제의 성장을 견인하겠다는 의지를 밝힌 점은 무엇보다 시의적절하다""며 윤 대통령의 신년사에 대한 환영의 뜻을 밝혔다.이어 ""경제 환경이 녹록지 않을 때 가장 어려움을 겪는 것은 중소기업과 소상공인""이라며 ""올해도 금리 인상과 공급망 위기가 계속될 것으로 예상되는 만큼 현장에서 체감할 수 있는 경기부양 대책이 필요하다""고 강조했다.앞서 윤 대통령은 이날 신년사를 통해 노동·교육·연금 3대 개혁 추진을 약속하면서 새로운 도약을 이뤄내겠다는 의지를 드러냈다. 윤 대통령은 특히 3대 개혁 추진 중 노동 개혁을 첫 번째로 거론하며 이를 통해 경제 성장을 견인해 나가야 한다고 강조했다. 윤 대통령령은 올해 극심한 경기 한파가 이어질 것으로 예상되는 가운데 적극적인 수출 진흥을 통해 경제 활로를 찾겠다는 뜻도 밝혔다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,"김정은 ""핵탄 보유 기하급수적 늘려라""…'또 다른 ICBM'도 언급",https://n.news.naver.com/mnews/article/079/0003722857?sid=100,"""남조선이 명백한 적으로 다가선 상황…전술핵 다량생산 중요""31일 이어 새해 벽두부터 방사포 잇단 발사로 군사적 긴장 고조연합뉴스김정은 북한 국무위원장이 지난해 말 열린 노동당 전원회의에서 핵탄두 보유량을 기하급수적으로 늘리겠다고 밝혔다.1일 조선중앙통신에 따르면 김 위원장은 전원회의 보고에서 ""남조선괴뢰들이 의심할 바 없는 우리의 명백한 적으로 다가선 현 상황은 전술핵무기 다량 생산의 중요성과 필요성을 부각시켜주고 나라의 핵탄 보유량을 기하급수적으로 늘일 것을 요구하고 있다""고 말했다.그는 ""이를 기본 중심 방향으로 하는 2023년도 핵무력 및 국방발전의 변혁적 전략을 천명했다""고 덧붙였다.연합뉴스김 위원장은 핵무력 강화의 중요성을 강조하면서 ""우리 핵무력은 전쟁억제와 평화안정 수호를 제1의 임무로 간주하지만 억제 실패시 제2의 사명도 결행하게 될 것""이라며 ""제2의 사명은 분명 방어가 아닌 다른 것""이라고 경고했다.그는 또 ""공화국의 절대적 존엄과 자주권, 생존권을 억척으로 수호하기 위한 우리 당과 공화국 정부의 핵무력 강화 전략과 기도에 따라 신속한 핵반격 능력을 기본사명으로 하는 또 다른 대륙간탄도미사일체계를 개발할데 대한 과업이 제시됐다""고 밝혔다.그는 이와 관련해 지난달 고체연료 로켓엔진 시험을 참관하면서 ""최단기간내에 또 다른 신형전략무기의 출현을 기대한다""고 말한 바 있다.김 위원장은 이와 함께 지난달 31일과 1일 각각 발사한 초대형 방사포(600㎜)에 대해 ""남조선전역을 사정권에 두고 전술핵탑재까지 가능한 공격형 무기""라고 말했다.그는 ""오늘 군수로동계급이 당과 혁명에 증정한 저 무장장비는 군사기술적으로 볼 때 높은 지형극복능력과 기동성,기습적인 다련발 정밀공격능력을 갖추었으며 남조선전역을 사정권에 두고 전술핵탑재까지 가능한것으로 하여 전망적으로 우리 무력의 핵심적인 공격형무기로서 적들을 압도적으로 제압해야 할 자기의 전투적사명을 수행하게 된다""고 설명했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
